DATE,TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,CONTRIBUTING_FACTOR_VEHICLE_3,CONTRIBUTING_FACTOR_VEHICLE_4,CONTRIBUTING_FACTOR_VEHICLE_5,UNIQUE_KEY,VEHICLE_TYPE_CODE_1,VEHICLE_TYPE_CODE_2,VEHICLE_TYPE_CODE_3,VEHICLE_TYPE_CODE_4,VEHICLE_TYPE_CODE_5
04/10/2018,10:29,QUEENS,11368,40.758305,-73.85561,"(40.758305, -73.85561)",114 STREET                      ,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3878881,PASSENGER VEHICLE,PICK-UP TRUCK,PASSENGER VEHICLE,,
04/10/2018,10:30,BRONX,10462,40.850845,-73.867805,"(40.850845, -73.867805)",,,2028      WHITE PLAINS ROAD             ,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3878666,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/10/2018,10:30,,,40.756676,-73.920876,"(40.756676, -73.920876)",34 AVENUE                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3879127,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
04/10/2018,10:30,,,40.682537,-73.95002,"(40.682537, -73.95002)",NOSTRAND AVENUE                 ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3879210,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/10/2018,10:30,,,,,,26 AVENUE                       ,CLEARVIEW EXPRESSWAY,,2,0,0,0,0,0,2,0,Other Vehicular,Other Vehicular,,,,3878163,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/10/2018,10:35,QUEENS,11361,40.76631,-73.77341,"(40.76631, -73.77341)",38 AVENUE                       ,213 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3878615,SPORT UTILITY / STATION WAGON,,,,
04/10/2018,10:37,QUEENS,11385,40.70879,-73.87113,"(40.70879, -73.87113)",,,79-57     COOPER AVENUE                 ,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,3878069,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/10/2018,10:40,BROOKLYN,11207,40.669655,-73.88675,"(40.669655, -73.88675)",,,530       BARBEY STREET                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3878109,PASSENGER VEHICLE,,,,
04/10/2018,10:40,,,40.860535,-73.914345,"(40.860535, -73.914345)",MAJOR DEEGAN EXPRESSWAY         ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3878847,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/10/2018,10:44,,,40.57563,-73.96395,"(40.57563, -73.96395)",BRIGHTWATER COURT               ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3878964,PICK-UP TRUCK,,,,
04/10/2018,10:45,,,40.550804,-74.175186,"(40.550804, -74.175186)",ANNADALE ROAD                   ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3878049,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
04/10/2018,10:50,BROOKLYN,11201,40.68817,-73.98399,"(40.68817, -73.98399)",BOND STREET                     ,SCHERMERHORN STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3878039,BICYCLE,PASSENGER VEHICLE,,,
04/10/2018,10:50,MANHATTAN,10001,,,,WEST 29 STREET                  ,12 AVENUE,,0,0,0,0,0,0,0,0,,,,,,3879542,SPORT UTILITY / STATION WAGON,TK,,,
04/10/2018,10:50,MANHATTAN,10002,40.71733,-73.980125,"(40.71733, -73.980125)",,,71        COLUMBIA STREET               ,0,0,0,0,0,0,0,0,Physical Disability,Unspecified,Unspecified,,,3879422,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/10/2018,10:50,QUEENS,11373,40.7334,-73.87508,"(40.7334, -73.87508)",57 AVENUE                       ,SEABURY STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3879042,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/10/2018,10:50,,,40.74023,-73.81957,"(40.74023, -73.81957)",LONG ISLAND EXPRESSWAY          ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3878683,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/10/2018,10:55,BROOKLYN,11233,40.66636,-73.92445,"(40.66636, -73.92445)",EAST NEW YORK AVENUE            ,EAST 98 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3878115,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/10/2018,10:55,,,40.763668,-73.82303,"(40.763668, -73.82303)",PARSONS BOULEVARD               ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3878160,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/10/2018,11:00,BROOKLYN,11230,40.627155,-73.96563,"(40.627155, -73.96563)",AVENUE I                        ,CONEY ISLAND AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3879575,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/10/2018,11:00,BROOKLYN,11249,40.71348,-73.965515,"(40.71348, -73.965515)",WYTHE AVENUE                    ,SOUTH 3 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,3879518,SPORT UTILITY / STATION WAGON,FB,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
04/10/2018,11:00,MANHATTAN,10001,40.74834,-73.9864,"(40.74834, -73.9864)",,,43        WEST 33 STREET                ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3879522,PICK-UP TRUCK,PASSENGER VEHICLE,,,
04/10/2018,11:00,QUEENS,11354,40.768795,-73.82997,"(40.768795, -73.82997)",,,31-65     138 STREET                    ,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,3878172,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
